0	1
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0

0	0.59324
1.05	0
2.1	0
3.15	0
4.2	0
5.25	0
6.3	0
7.35	0
8.4	0
9.45	0
10.5	0
11.55	0
12.6	0
13.65	0
14.7	0.33249
15.75	0
16.8	0
17.85	0
18.9	0
19.95	0
21	0
22.05	0
23.1	0
24.15	0
25.2	0
26.25	0
27.3	0
28.35	0
29.4	0.06076
30.45	0
31.5	0
32.55	0
33.6	0
34.65	0
35.7	0
36.75	0
37.8	0
38.85	0
39.9	0
40.95	0
42	0
43.05	0
44.1	0.01105
45.15	0
46.2	0
47.25	0
48.3	0
49.35	0
50.4	0
51.45	0
52.5	0
53.55	0
54.6	0
55.65	0
56.7	0
57.75	0
58.8	0
59.85	0.002
60.9	0
61.95	0
63	0
64.05	0
65.1	0
66.15	0
67.2	0
68.25	0
69.3	0
70.35	0
71.4	0
72.45	0
73.5	0
74.55	0.00042
75.6	0
76.65	0
77.7	0
78.75	0
79.8	0
80.85	0
81.9	0
82.95	0
84	0
85.05	0
86.1	0
87.15	0
88.2	0
89.25	2e-05
90.3	0
91.35	0
92.4	0
93.45	0
94.5	0
95.55	0
96.6	0
97.65	0
98.7	0
99.75	0
100.8	0
101.85	0
102.9	0
103.95	2e-05

0	0.16162
2.52	0
5.04	0
7.56	0
10.08	0
12.6	0
15.12	0
17.64	0
20.16	0.50363
22.68	0
25.2	0
27.72	0
30.24	0
32.76	0
35.28	0
37.8	0
40.32	0.20177
42.84	0
45.36	0
47.88	0
50.4	0
52.92	0
55.44	0
57.96	0
60.48	0.07999
63	0
65.52	0
68.04	0
70.56	0
73.08	0
75.6	0
78.12	0
80.64	0
83.16	0.03224
85.68	0
88.2	0
90.72	0
93.24	0
95.76	0
98.28	0
100.8	0
103.32	0.01306
105.84	0
108.36	0
110.88	0
113.4	0
115.92	0
118.44	0
120.96	0
123.48	0.00463
126	0
128.52	0
131.04	0
133.56	0
136.08	0
138.6	0
141.12	0
143.64	0
146.16	0.00208
148.68	0
151.2	0
153.72	0
156.24	0
158.76	0
161.28	0
163.8	0
166.32	0.00063
168.84	0
171.36	0
173.88	0
176.4	0
178.92	0
181.44	0
183.96	0
186.48	0.00024
189	0
191.52	0
194.04	0
196.56	0
199.08	0
201.6	0
204.12	0
206.64	0
209.16	8e-05
211.68	0
214.2	0
216.72	0
219.24	0
221.76	0
224.28	0
226.8	0
229.32	2e-05
231.84	0
234.36	0
236.88	0
239.4	0
241.92	0
244.44	0
246.96	0
249.48	1e-05

